TSDate,Month,Year,serieNames,sales
31-01-1900,8,2013,serie_2,5
01-01-1900,9,2013,serie_2,5
01-01-1900,9,2013,serie_1,0
02-01-1900,9,2013,serie_2,1612
02-01-1900,9,2013,serie_1,3737
03-01-1900,9,2013,serie_2,856
03-01-1900,9,2013,serie_1,1932
04-01-1900,9,2013,serie_2,844
04-01-1900,9,2013,serie_1,1774
05-01-1900,9,2013,serie_2,787
05-01-1900,9,2013,serie_1,1689
06-01-1900,9,2013,serie_1,1232
06-01-1900,9,2013,serie_2,666
07-01-1900,9,2013,serie_2,5
07-01-1900,9,2013,serie_1,0
08-01-1900,9,2013,serie_1,0
08-01-1900,9,2013,serie_2,5
09-01-1900,9,2013,serie_1,3524
09-01-1900,9,2013,serie_2,1572
10-01-1900,9,2013,serie_2,822
10-01-1900,9,2013,serie_1,1913
11-01-1900,9,2013,serie_2,781
11-01-1900,9,2013,serie_1,1811
12-01-1900,9,2013,serie_2,772
12-01-1900,9,2013,serie_1,1843
13-01-1900,9,2013,serie_1,1186
13-01-1900,9,2013,serie_2,548
14-01-1900,9,2013,serie_2,5
14-01-1900,9,2013,serie_1,0
15-01-1900,9,2013,serie_2,5
15-01-1900,9,2013,serie_1,0
16-01-1900,9,2013,serie_2,1794
16-01-1900,9,2013,serie_1,3489
17-01-1900,9,2013,serie_1,1925
17-01-1900,9,2013,serie_2,757
18-01-1900,9,2013,serie_1,1747
18-01-1900,9,2013,serie_2,743
19-01-1900,9,2013,serie_2,707
19-01-1900,9,2013,serie_1,1722
20-01-1900,9,2013,serie_2,552
20-01-1900,9,2013,serie_1,1337
21-01-1900,9,2013,serie_2,5
21-01-1900,9,2013,serie_1,0
22-01-1900,9,2013,serie_2,5
22-01-1900,9,2013,serie_1,0
23-01-1900,9,2013,serie_2,1512
23-01-1900,9,2013,serie_1,3695
24-01-1900,9,2013,serie_2,914
24-01-1900,9,2013,serie_1,2100
25-01-1900,9,2013,serie_2,1109
25-01-1900,9,2013,serie_1,2222
26-01-1900,9,2013,serie_2,931
26-01-1900,9,2013,serie_1,2101
27-01-1900,9,2013,serie_1,1600
27-01-1900,9,2013,serie_2,693
28-01-1900,9,2013,serie_2,5
28-01-1900,9,2013,serie_1,0
29-01-1900,9,2013,serie_1,0
29-01-1900,9,2013,serie_2,5
30-01-1900,9,2013,serie_1,3993
30-01-1900,9,2013,serie_2,1565
01-01-1900,10,2013,serie_1,1984
01-01-1900,10,2013,serie_2,822
02-01-1900,10,2013,serie_1,1971
02-01-1900,10,2013,serie_2,771
